accounts-barclaysglobal,ticket,ART ACCOUNTS FTS,accounts.barclaysglobal.com,SUPPORT-accounts-barclaysglobal,BGI VPO,SOFTWARE,SOFTWARE,ACCOUNTS.BARCLAYSGLOBAL.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
administration,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-administration,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
advantage,ticket,SUPPORT-ADVANTAGE,,SUPPORT-advantage,BGI VPO,SOFTWARE,SOFTWARE,ADVANTAGE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ais,ticket,SUPPORT-AIS,,SUPPORT-ais,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
ais_inception,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
alarmpoint,ticket,ENTERPRISE SYSTEMS MANAGEMENT,AlarmPoint Production Messages,ESM,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
amsx,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
amsx_load,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ap1,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager,ticket,WINDOWS SERVERS AUTOGEN-FTS,NetIQ AppManager Events,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_application,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - applications (not used),Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_backupexec,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - backupexec,Windows On-Call FTS,BGI VPO,SERVERS,BACKUPS,BACKUPEXEC,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_cim,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Compaq Insight Manager,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
